"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 03 16:04:06 GMT 2022","Thu Feb 03 16:04:17 GMT 2022","11313","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00700","Main page search: professional name",""
"passed","Thu Feb 03 16:00:21 GMT 2022","Thu Feb 03 16:00:51 GMT 2022","29832","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00001","Basic Positive User Registration",""
"passed","Thu Feb 03 15:59:55 GMT 2022","Thu Feb 03 16:00:21 GMT 2022","26319","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"passed","Thu Feb 03 16:02:25 GMT 2022","Thu Feb 03 16:02:46 GMT 2022","21442","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Thu Feb 03 16:04:17 GMT 2022","Thu Feb 03 16:04:29 GMT 2022","12225","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00701","Search page search: professional name",""
"failed","Thu Feb 03 15:55:06 GMT 2022","Thu Feb 03 15:56:00 GMT 2022","54228","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00000","Booking: today's date",""
"passed","Thu Feb 03 15:59:15 GMT 2022","Thu Feb 03 15:59:54 GMT 2022","39170","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"passed","Thu Feb 03 15:58:11 GMT 2022","Thu Feb 03 15:58:45 GMT 2022","34005","","desktopTests.regressionTests.UserProfileTests","","desktopTests.regressionTests.UserProfileTests","t00000","Profile: delete address that was default",""
"passed","Thu Feb 03 15:58:46 GMT 2022","Thu Feb 03 15:59:15 GMT 2022","29452","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"passed","Thu Feb 03 15:56:44 GMT 2022","Thu Feb 03 15:57:32 GMT 2022","47687","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"passed","Thu Feb 03 16:03:31 GMT 2022","Thu Feb 03 16:03:47 GMT 2022","15499","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Thu Feb 03 16:01:27 GMT 2022","Thu Feb 03 16:01:57 GMT 2022","29950","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00200","Basic booking online",""
"failed","Thu Feb 03 15:57:32 GMT 2022","Thu Feb 03 15:58:10 GMT 2022","38704","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"passed","Thu Feb 03 16:01:57 GMT 2022","Thu Feb 03 16:02:11 GMT 2022","14240","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"passed","Thu Feb 03 16:03:47 GMT 2022","Thu Feb 03 16:04:06 GMT 2022","19113","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"failed","Thu Feb 03 16:03:05 GMT 2022","Thu Feb 03 16:03:31 GMT 2022","26444","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00500","Chat test",""
"passed","Thu Feb 03 16:00:51 GMT 2022","Thu Feb 03 16:01:27 GMT 2022","35493","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Thu Feb 03 16:02:46 GMT 2022","Thu Feb 03 16:03:05 GMT 2022","18406","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00403","Review answer",""
"passed","Thu Feb 03 15:56:00 GMT 2022","Thu Feb 03 15:56:44 GMT 2022","43744","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"passed","Thu Feb 03 16:02:11 GMT 2022","Thu Feb 03 16:02:25 GMT 2022","13996","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00301","Master completes order: online",""
