"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 03 16:16:08 GMT 2022","Thu Feb 03 16:16:25 GMT 2022","17021","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00403","Review answer",""
"passed","Thu Feb 03 16:15:48 GMT 2022","Thu Feb 03 16:16:08 GMT 2022","20048","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Thu Feb 03 16:16:25 GMT 2022","Thu Feb 03 16:16:41 GMT 2022","15246","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00500","Chat test",""
"passed","Thu Feb 03 16:16:54 GMT 2022","Thu Feb 03 16:17:12 GMT 2022","18040","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"passed","Thu Feb 03 16:11:16 GMT 2022","Thu Feb 03 16:11:52 GMT 2022","35523","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"passed","Thu Feb 03 16:10:32 GMT 2022","Thu Feb 03 16:11:16 GMT 2022","44344","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"passed","Thu Feb 03 16:13:27 GMT 2022","Thu Feb 03 16:13:52 GMT 2022","24517","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"passed","Thu Feb 03 16:17:22 GMT 2022","Thu Feb 03 16:17:33 GMT 2022","11235","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00701","Search page search: professional name",""
"passed","Thu Feb 03 16:16:41 GMT 2022","Thu Feb 03 16:16:54 GMT 2022","13096","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Thu Feb 03 16:09:51 GMT 2022","Thu Feb 03 16:10:32 GMT 2022","40736","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"passed","Thu Feb 03 16:15:35 GMT 2022","Thu Feb 03 16:15:48 GMT 2022","12884","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"passed","Thu Feb 03 16:12:25 GMT 2022","Thu Feb 03 16:12:52 GMT 2022","26692","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"passed","Thu Feb 03 16:12:52 GMT 2022","Thu Feb 03 16:13:26 GMT 2022","34566","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"passed","Thu Feb 03 16:14:54 GMT 2022","Thu Feb 03 16:15:22 GMT 2022","27906","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00200","Basic booking online",""
"passed","Thu Feb 03 16:13:52 GMT 2022","Thu Feb 03 16:14:20 GMT 2022","28197","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00001","Basic Positive User Registration",""
"passed","Thu Feb 03 16:17:12 GMT 2022","Thu Feb 03 16:17:22 GMT 2022","10418","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00700","Main page search: professional name",""
"passed","Thu Feb 03 16:14:20 GMT 2022","Thu Feb 03 16:14:54 GMT 2022","33819","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Thu Feb 03 16:15:22 GMT 2022","Thu Feb 03 16:15:35 GMT 2022","13451","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"passed","Thu Feb 03 16:11:53 GMT 2022","Thu Feb 03 16:12:24 GMT 2022","31591","","desktopTests.regressionTests.UserProfileTests","","desktopTests.regressionTests.UserProfileTests","t00000","Profile: delete address that was default",""
"passed","Thu Feb 03 16:08:58 GMT 2022","Thu Feb 03 16:09:51 GMT 2022","53034","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00000","Booking: today's date",""
