"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 03 17:03:03 GMT 2022","Thu Feb 03 17:03:22 GMT 2022","19402","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"passed","Thu Feb 03 16:59:44 GMT 2022","Thu Feb 03 17:00:16 GMT 2022","31103","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00001","Basic Positive User Registration",""
"passed","Thu Feb 03 16:57:32 GMT 2022","Thu Feb 03 16:58:07 GMT 2022","34754","","desktopTests.regressionTests.UserProfileTests","","desktopTests.regressionTests.UserProfileTests","t00000","Profile: delete address that was default",""
"passed","Thu Feb 03 16:55:18 GMT 2022","Thu Feb 03 16:56:03 GMT 2022","44930","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"passed","Thu Feb 03 16:58:37 GMT 2022","Thu Feb 03 16:59:17 GMT 2022","39661","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"failed","Thu Feb 03 16:54:14 GMT 2022","Thu Feb 03 16:55:18 GMT 2022","63752","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00000","Booking: today's date",""
"passed","Thu Feb 03 17:02:49 GMT 2022","Thu Feb 03 17:03:03 GMT 2022","13958","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Thu Feb 03 16:56:03 GMT 2022","Thu Feb 03 16:56:52 GMT 2022","49617","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"passed","Thu Feb 03 17:01:38 GMT 2022","Thu Feb 03 17:01:52 GMT 2022","14287","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"passed","Thu Feb 03 17:00:16 GMT 2022","Thu Feb 03 17:00:53 GMT 2022","37480","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Thu Feb 03 17:03:22 GMT 2022","Thu Feb 03 17:03:34 GMT 2022","11748","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00700","Main page search: professional name",""
"passed","Thu Feb 03 17:01:52 GMT 2022","Thu Feb 03 17:02:14 GMT 2022","22306","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Thu Feb 03 17:02:14 GMT 2022","Thu Feb 03 17:02:32 GMT 2022","17625","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00403","Review answer",""
"passed","Thu Feb 03 16:58:08 GMT 2022","Thu Feb 03 16:58:37 GMT 2022","29383","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"passed","Thu Feb 03 17:00:53 GMT 2022","Thu Feb 03 17:01:23 GMT 2022","30193","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00200","Basic booking online",""
"passed","Thu Feb 03 16:59:18 GMT 2022","Thu Feb 03 16:59:44 GMT 2022","26820","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"passed","Thu Feb 03 16:56:52 GMT 2022","Thu Feb 03 16:57:32 GMT 2022","39222","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"passed","Thu Feb 03 17:01:23 GMT 2022","Thu Feb 03 17:01:38 GMT 2022","14672","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"passed","Thu Feb 03 17:02:32 GMT 2022","Thu Feb 03 17:02:49 GMT 2022","16987","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00500","Chat test",""
"passed","Thu Feb 03 17:03:34 GMT 2022","Thu Feb 03 17:03:47 GMT 2022","12290","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00701","Search page search: professional name",""
