"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 03 16:59:27 GMT 2022","Thu Feb 03 16:59:40 GMT 2022","13088","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Thu Feb 03 16:58:22 GMT 2022","Thu Feb 03 16:58:35 GMT 2022","13063","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"passed","Thu Feb 03 16:54:37 GMT 2022","Thu Feb 03 16:55:09 GMT 2022","32104","","desktopTests.regressionTests.UserProfileTests","","desktopTests.regressionTests.UserProfileTests","t00000","Profile: delete address that was default",""
"passed","Thu Feb 03 16:58:35 GMT 2022","Thu Feb 03 16:58:55 GMT 2022","20162","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Thu Feb 03 16:55:10 GMT 2022","Thu Feb 03 16:55:36 GMT 2022","26695","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"passed","Thu Feb 03 16:59:40 GMT 2022","Thu Feb 03 16:59:58 GMT 2022","18099","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"passed","Thu Feb 03 16:53:18 GMT 2022","Thu Feb 03 16:54:01 GMT 2022","42607","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"passed","Thu Feb 03 16:54:01 GMT 2022","Thu Feb 03 16:54:36 GMT 2022","35002","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"passed","Thu Feb 03 16:57:06 GMT 2022","Thu Feb 03 16:57:40 GMT 2022","34566","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Thu Feb 03 16:58:08 GMT 2022","Thu Feb 03 16:58:22 GMT 2022","13185","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"passed","Thu Feb 03 16:56:11 GMT 2022","Thu Feb 03 16:56:36 GMT 2022","24826","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"passed","Thu Feb 03 16:55:36 GMT 2022","Thu Feb 03 16:56:11 GMT 2022","34129","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"passed","Thu Feb 03 16:59:12 GMT 2022","Thu Feb 03 16:59:27 GMT 2022","15414","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00500","Chat test",""
"passed","Thu Feb 03 16:52:38 GMT 2022","Thu Feb 03 16:53:18 GMT 2022","40514","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"passed","Thu Feb 03 16:59:58 GMT 2022","Thu Feb 03 17:00:08 GMT 2022","10167","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00700","Main page search: professional name",""
"passed","Thu Feb 03 16:56:36 GMT 2022","Thu Feb 03 16:57:06 GMT 2022","29315","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00001","Basic Positive User Registration",""
"passed","Thu Feb 03 16:57:40 GMT 2022","Thu Feb 03 16:58:08 GMT 2022","28199","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00200","Basic booking online",""
"passed","Thu Feb 03 16:58:55 GMT 2022","Thu Feb 03 16:59:12 GMT 2022","16768","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00403","Review answer",""
"passed","Thu Feb 03 17:00:08 GMT 2022","Thu Feb 03 17:00:20 GMT 2022","11271","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00701","Search page search: professional name",""
"passed","Thu Feb 03 16:51:42 GMT 2022","Thu Feb 03 16:52:37 GMT 2022","55621","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00000","Booking: today's date",""
