"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 11:04:34 GMT 2022","Wed Feb 02 11:05:08 GMT 2022","34063","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Wed Feb 02 11:05:37 GMT 2022","Wed Feb 02 11:05:50 GMT 2022","13858","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"passed","Wed Feb 02 11:06:04 GMT 2022","Wed Feb 02 11:06:24 GMT 2022","20267","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Wed Feb 02 11:05:50 GMT 2022","Wed Feb 02 11:06:04 GMT 2022","13698","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"passed","Wed Feb 02 11:07:30 GMT 2022","Wed Feb 02 11:07:41 GMT 2022","10818","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00700","Main page search: professional name",""
"passed","Wed Feb 02 11:10:56 GMT 2022","Wed Feb 02 11:11:40 GMT 2022","44671","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"passed","Wed Feb 02 11:08:31 GMT 2022","Wed Feb 02 11:08:59 GMT 2022","27821","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"passed","Wed Feb 02 11:06:58 GMT 2022","Wed Feb 02 11:07:12 GMT 2022","13610","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Wed Feb 02 11:09:36 GMT 2022","Wed Feb 02 11:10:14 GMT 2022","38382","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00000","Booking: today's date",""
"passed","Wed Feb 02 11:06:24 GMT 2022","Wed Feb 02 11:06:42 GMT 2022","17587","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00403","Review answer",""
"passed","Wed Feb 02 11:03:31 GMT 2022","Wed Feb 02 11:04:04 GMT 2022","32417","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"passed","Wed Feb 02 11:10:14 GMT 2022","Wed Feb 02 11:10:56 GMT 2022","41499","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"passed","Wed Feb 02 11:07:53 GMT 2022","Wed Feb 02 11:08:31 GMT 2022","37432","","desktopTests.regressionTests.UserProfileTests","","desktopTests.regressionTests.UserProfileTests","t00000","Profile: delete address that was default",""
"passed","Wed Feb 02 11:07:41 GMT 2022","Wed Feb 02 11:07:52 GMT 2022","11747","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00701","Search page search: professional name",""
"passed","Wed Feb 02 11:04:04 GMT 2022","Wed Feb 02 11:04:34 GMT 2022","30041","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00001","Basic Positive User Registration",""
"passed","Wed Feb 02 11:05:08 GMT 2022","Wed Feb 02 11:05:37 GMT 2022","28766","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00200","Basic booking online",""
"passed","Wed Feb 02 11:06:42 GMT 2022","Wed Feb 02 11:06:58 GMT 2022","16383","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00500","Chat test",""
"passed","Wed Feb 02 11:07:12 GMT 2022","Wed Feb 02 11:07:30 GMT 2022","17977","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"failed","Wed Feb 02 11:11:40 GMT 2022","Wed Feb 02 11:12:18 GMT 2022","37910","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"passed","Wed Feb 02 11:08:59 GMT 2022","Wed Feb 02 11:09:35 GMT 2022","35900","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
