"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 02 11:47:10 GMT 2022","Wed Feb 02 11:47:48 GMT 2022","38046","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"failed","Wed Feb 02 11:40:52 GMT 2022","Wed Feb 02 11:41:16 GMT 2022","24238","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"failed","Wed Feb 02 11:46:18 GMT 2022","Wed Feb 02 11:47:10 GMT 2022","51988","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"failed","Wed Feb 02 11:44:58 GMT 2022","Wed Feb 02 11:45:38 GMT 2022","39859","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00000","Booking: today's date",""
"failed","Wed Feb 02 11:41:16 GMT 2022","Wed Feb 02 11:41:41 GMT 2022","24749","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00403","Review answer",""
"failed","Wed Feb 02 11:40:28 GMT 2022","Wed Feb 02 11:40:52 GMT 2022","24057","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"passed","Wed Feb 02 11:44:20 GMT 2022","Wed Feb 02 11:44:57 GMT 2022","37547","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"passed","Wed Feb 02 11:42:58 GMT 2022","Wed Feb 02 11:43:10 GMT 2022","12354","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00701","Search page search: professional name",""
"failed","Wed Feb 02 11:40:04 GMT 2022","Wed Feb 02 11:40:27 GMT 2022","23419","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"passed","Wed Feb 02 11:43:50 GMT 2022","Wed Feb 02 11:44:20 GMT 2022","29582","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"failed","Wed Feb 02 11:45:38 GMT 2022","Wed Feb 02 11:46:18 GMT 2022","39680","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"failed","Wed Feb 02 11:42:04 GMT 2022","Wed Feb 02 11:42:28 GMT 2022","23867","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"passed","Wed Feb 02 11:42:28 GMT 2022","Wed Feb 02 11:42:47 GMT 2022","18735","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
"passed","Wed Feb 02 11:42:47 GMT 2022","Wed Feb 02 11:42:58 GMT 2022","11201","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00700","Main page search: professional name",""
"passed","Wed Feb 02 11:43:11 GMT 2022","Wed Feb 02 11:43:49 GMT 2022","38200","","desktopTests.regressionTests.UserProfileTests","","desktopTests.regressionTests.UserProfileTests","t00000","Profile: delete address that was default",""
"passed","Wed Feb 02 11:37:45 GMT 2022","Wed Feb 02 11:38:22 GMT 2022","36947","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"passed","Wed Feb 02 11:38:53 GMT 2022","Wed Feb 02 11:39:29 GMT 2022","35388","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"failed","Wed Feb 02 11:39:29 GMT 2022","Wed Feb 02 11:40:04 GMT 2022","35362","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00200","Basic booking online",""
"passed","Wed Feb 02 11:38:22 GMT 2022","Wed Feb 02 11:38:53 GMT 2022","31419","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00001","Basic Positive User Registration",""
"failed","Wed Feb 02 11:41:41 GMT 2022","Wed Feb 02 11:42:04 GMT 2022","23678","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00500","Chat test",""
